Age,M,F,Total Population
0-4,61705157,56100408,117805565
05-Sep,61156249,55470476,116626725
Oct-14,65529162,59247144,124776306
15-19,66720827,59535435,126256262
20-24,65190651,57919863,123110514
25-29,62464037,55667536,118131573
30-34,59414201,53692757,113106958
35-39,54983196,50300522,105283718
40-44,47800063,44585968,92386031
45-49,41569276,39447158,81016434
50-54,35871178,34362501,70233679
55-59,30683717,29669493,60353210
60-64,25198480,24710588,49909068
65-69,19765111,19667183,39432294
70-74,12342949,13092551,25435500
75-79,7277333,8233710,15511043
80-84,3979437,4802826,8782263
85-89,1695954,2113999,3809953
90-94,503975,638562,1142537
95-99,103730,144394,248124
100+,18753,32521,51274
0-18,,,485464858
18-30,,,241242087
30-45,,,310776707
45-60,,,211603323
60+,,,144322056
